ID_Jogador,Dias_Desde_Instalacao,Nivel_Atual,Tempo_Jogado_Horas,Itens_Raros_Possuidos,Gasto_Total_BRL,COMPROU_OFERTA_X
302,15,3,4,0,0.0,0
303,49,20,48,1,0.0,0
304,65,24,68,2,0.0,0
305,5,54,42,1,0.0,0
306,7,33,22,3,0.0,0
307,8,24,19,1,0.0,0
308,36,75,66,4,0.0,1
309,28,72,63,2,0.0,0
310,29,36,43,3,793.95,0
311,85,38,84,1,0.0,0
312,45,84,83,3,0.0,0
313,5,99,51,4,0.0,0
314,13,89,46,6,0.0,0
315,18,99,55,4,0.0,0
316,16,25,24,1,0.0,0
317,34,93,74,5,0.0,0
318,67,18,67,2,0.0,0
319,11,82,53,5,0.0,0
320,25,66,53,3,0.0,0
321,47,54,69,4,0.0,0
322,17,35,31,5,345.61,0
323,6,80,38,8,0.0,0
324,20,61,38,1,0.0,0
325,2,41,28,3,0.0,0
326,86,100,107,5,0.0,0
327,3,33,17,3,0.0,0
328,18,68,63,4,28.3,1
329,23,33,37,2,0.0,0
330,127,14,107,0,0.0,0
331,6,21,6,3,0.0,1
332,4,48,35,3,0.0,0
333,1,20,16,1,224.2,0
334,6,8,12,1,122.24,0
335,7,7,9,0,0.0,0
336,30,67,60,4,159.5,1
337,8,17,14,3,0.0,0
338,1,33,12,2,279.98,1
339,53,48,71,3,0.0,0
340,14,76,48,5,0.0,0
341,14,59,43,5,0.0,0
342,11,86,51,3,0.0,0
343,112,22,102,0,0.0,0
344,6,30,19,2,0.0,0
345,69,38,73,1,0.0,0
346,45,51,61,0,0.0,0
347,3,54,44,3,0.0,0
348,130,8,112,0,0.0,0
349,10,27,34,0,0.0,0
350,4,27,16,1,0.0,0
351,54,98,90,5,0.0,0
352,37,21,34,1,0.0,0
353,29,30,46,0,0.0,0
354,6,97,48,3,0.0,0
355,20,28,39,0,0.0,0
356,46,64,63,5,0.0,0
357,11,97,61,7,0.0,0
358,12,69,36,3,0.0,0
359,1,61,29,1,0.0,0
360,6,48,28,3,0.0,0
361,63,19,56,2,0.0,0
362,18,4,15,0,0.0,0
363,125,35,116,2,0.0,0
364,16,64,48,4,0.0,1
365,38,49,44,0,0.0,0
366,10,17,13,1,0.0,0
367,14,44,39,2,0.0,0
368,7,92,54,1,91.32,0
369,13,30,31,1,0.0,0
370,24,93,69,2,0.0,0
371,145,46,133,2,98.85,0
372,33,6,32,0,114.84,0
373,7,99,55,5,0.0,0
374,2,37,31,1,0.0,0
375,5,24,20,0,47.38,0
376,25,93,69,2,0.0,1
377,44,46,61,2,0.0,0
378,85,53,96,4,0.0,0
379,1,95,50,2,0.0,0
380,23,99,66,1,0.0,0
381,20,60,48,2,216.5,0
382,33,97,79,2,0.0,0
383,25,63,56,2,680.17,0
384,35,85,75,4,0.0,0
385,33,32,49,1,0.0,0
386,4,87,52,4,0.0,0
387,49,33,58,1,0.0,0
388,4,67,30,2,0.0,0
389,36,18,32,0,0.0,0
390,17,25,24,1,0.0,0
391,22,95,65,4,0.0,0
392,71,54,90,4,0.0,0
393,67,58,68,3,0.0,0
394,52,67,69,2,0.0,0
395,22,46,39,2,0.0,0
396,40,24,39,5,0.0,0
397,22,32,29,2,0.0,0
398,62,47,70,1,0.0,0
399,16,86,51,6,0.0,1
400,106,23,92,1,0.0,0
401,81,66,104,2,0.0,0
402,41,27,49,1,95.73,0
403,10,2,12,0,427.32,0
404,5,90,48,1,0.0,0
405,58,17,59,2,0.0,0
406,6,33,25,0,0.0,0
407,58,9,53,0,0.0,1
408,21,43,35,2,0.0,0
409,16,48,34,5,0.0,0
410,71,39,81,1,0.0,0
411,28,93,66,4,0.0,0
412,26,42,35,2,0.0,0
413,25,26,30,3,0.0,0
414,14,99,68,3,0.0,0
415,47,50,59,2,0.0,0
416,9,25,21,2,0.0,0
417,84,24,76,2,135.42,0
418,68,13,64,2,0.0,0
419,13,60,43,2,0.0,0
420,40,7,28,0,0.0,0
421,26,57,50,5,96.62,0
422,13,36,19,2,0.0,0
423,135,45,127,3,0.0,0
424,1,20,10,0,0.0,0
425,9,65,48,7,0.0,0
426,23,8,23,1,0.0,0
427,23,16,22,0,0.0,0
428,27,14,27,0,0.0,0
429,42,76,76,3,0.0,0
430,30,87,63,7,0.0,0
431,28,15,35,1,0.0,0
432,2,92,44,6,0.0,0
433,15,98,56,4,65.81,0
434,8,66,36,4,0.0,0
435,10,32,15,0,0.0,0
436,25,87,52,4,0.0,0
437,7,63,36,2,0.0,1
438,11,86,51,5,0.0,0
439,9,51,33,3,0.0,0
440,89,25,83,2,0.0,1
441,87,58,110,3,99.07,1
442,29,63,55,1,0.0,0
443,78,62,86,4,0.0,0
444,47,22,43,0,0.0,0
445,27,58,50,0,0.0,0
446,1,58,27,3,0.0,0
447,45,86,72,4,0.0,0
448,37,49,53,5,0.0,0
449,29,52,48,2,17.85,1
450,43,42,63,4,0.0,1
451,22,70,48,3,0.0,0
452,37,15,35,0,0.0,0
453,83,54,101,5,0.0,0
454,15,60,43,3,0.0,0
455,37,97,73,3,0.0,0
456,20,8,16,0,0.0,0
457,34,53,47,2,0.0,0
458,44,60,65,3,0.0,0
459,2,5,9,0,0.0,0
460,32,68,67,4,0.0,0
461,8,6,1,0,0.0,0
462,34,96,79,5,0.0,0
463,19,94,63,8,0.0,0
464,45,47,58,5,0.0,0
465,4,99,50,7,0.0,0
466,30,55,41,3,524.2,0
467,10,40,31,1,322.04,0
468,58,52,65,3,105.76,0
469,80,16,68,1,0.0,0
470,169,13,143,1,0.0,1
471,48,30,44,1,0.0,0
472,43,19,37,1,0.0,0
473,8,17,20,2,0.0,0
474,13,63,42,4,169.47,1
475,19,19,21,2,0.0,0
476,45,92,82,10,0.0,0
477,74,58,91,5,0.0,0
478,7,55,38,3,0.0,1
479,77,90,101,2,0.0,0
480,36,90,68,3,0.0,0
481,29,62,57,6,0.0,0
482,7,23,20,1,0.0,0
483,2,9,1,0,0.0,0
484,26,12,21,0,0.0,0
485,32,1,25,0,0.0,0
486,8,58,35,3,0.0,0
487,25,1,20,1,0.0,0
488,59,34,57,4,0.0,0
489,55,96,92,5,0.0,0
490,79,48,83,3,0.0,0
491,14,89,49,0,0.0,0
492,12,1,10,0,0.0,0
493,42,16,41,0,0.0,0
494,17,61,48,4,0.0,0
495,3,64,30,0,0.0,0
496,10,63,40,5,0.0,0
497,17,69,40,3,0.0,0
498,11,22,18,2,0.0,0
499,13,93,59,6,0.0,0
500,11,67,45,0,0.0,0
501,2,76,42,4,0.0,0
502,31,26,41,0,0.0,0
503,28,16,28,2,0.0,0
504,32,51,53,1,0.0,0
505,7,86,57,4,0.0,0
506,11,57,34,2,115.99,0
507,29,29,44,1,0.0,0
508,28,78,65,3,0.0,0
509,22,92,62,6,11.93,1
510,13,69,43,4,0.0,0
511,74,47,83,2,0.0,0
512,13,94,61,4,385.43,0
513,19,62,48,7,0.0,0
514,35,69,60,2,0.0,0
515,24,76,46,3,0.0,0
516,13,16,21,2,54.23,0
517,18,90,49,7,0.0,0
518,48,90,76,4,0.0,0
519,10,48,29,1,0.0,0
520,5,85,40,6,0.0,0
521,12,39,30,3,0.0,0
522,57,100,94,6,0.0,0
523,3,33,22,3,222.9,1
524,144,94,154,3,0.0,0
525,24,23,27,0,0.0,0
526,126,10,105,1,0.0,1
527,84,69,101,5,0.0,0
528,19,100,68,0,0.0,0
529,7,34,18,2,48.38,0
530,6,52,28,2,0.0,0
531,9,95,57,7,236.1,0
532,38,10,24,0,0.0,0
533,10,19,19,0,38.13,1
534,13,58,43,3,0.0,0
535,18,96,55,6,0.0,0
536,74,1,58,0,0.0,0
537,7,69,47,4,80.87,0
538,1,4,6,0,0.0,0
539,2,16,11,0,0.0,0
540,71,24,73,0,0.0,0
541,32,80,74,1,0.0,0
542,10,2,9,0,0.0,0
543,6,92,48,7,0.0,0
544,11,32,29,4,0.0,0
545,4,91,47,5,0.0,0
546,86,84,106,6,173.49,0
547,47,24,46,1,0.0,0
548,19,12,22,0,0.0,0
549,61,50,71,3,0.0,0
550,9,35,22,1,68.79,0
551,38,33,41,1,0.0,0
552,59,33,70,1,0.0,0
553,14,61,39,0,0.0,0
554,43,51,56,1,0.0,0
555,11,43,27,2,0.0,0
556,11,12,18,0,20.5,0
557,4,67,39,4,0.0,0
558,18,65,44,2,0.0,0
559,40,33,48,0,0.0,0
560,85,40,89,2,0.0,0
561,28,74,55,0,502.49,0
562,60,43,61,2,0.0,0
563,52,44,66,3,0.0,0
564,6,29,16,4,0.0,0
565,20,13,24,1,0.0,0
566,4,12,10,2,106.83,1
567,35,95,75,1,214.69,0
568,90,46,92,1,0.0,0
569,5,2,1,0,0.0,0
570,40,35,43,1,0.0,0
571,31,87,65,4,0.0,0
572,27,81,64,4,0.0,0
573,15,90,63,6,0.0,0
574,14,8,21,0,0.0,0
575,2,93,48,5,0.0,0
576,8,26,26,0,0.0,0
577,1,74,36,1,0.0,0
578,27,90,60,8,0.0,0
579,4,34,29,2,0.0,0
580,62,7,55,1,0.0,0
581,23,68,44,4,0.0,0
582,37,58,66,3,0.0,0
583,16,75,46,3,0.0,0
584,25,29,31,4,0.0,0
585,86,36,91,3,109.98,0
586,3,89,53,9,0.0,0
587,9,21,12,3,0.0,0
588,46,36,62,0,0.0,0
589,4,10,12,0,0.0,0
590,3,73,34,6,0.0,0
591,14,24,21,0,168.25,0
592,3,64,41,2,0.0,0
593,27,99,63,3,0.0,0
594,8,49,37,2,0.0,0
595,68,99,108,6,0.0,0
596,46,36,57,3,79.85,0
597,37,82,71,6,61.27,0
598,29,96,81,6,0.0,0
599,60,24,70,1,0.0,0
600,8,23,14,2,0.0,0
601,62,62,83,2,0.0,0
602,47,96,94,6,0.0,0
603,42,37,48,0,0.0,0
604,25,12,27,1,0.0,0
605,9,55,39,0,0.0,0
606,17,13,10,3,353.52,0
607,48,23,54,1,0.0,0
608,1,89,39,4,0.0,0
609,46,99,87,7,1039.27,1
610,9,30,27,3,0.0,0
611,5,17,1,0,0.0,0
612,4,62,38,4,166.67,0
613,1,84,52,4,0.0,0
614,23,89,60,4,0.0,0
615,8,86,52,5,0.0,0
616,137,13,122,0,0.0,0
617,26,59,42,2,0.0,0
618,5,19,17,0,0.0,0
619,36,49,58,0,48.32,0
620,69,100,108,3,64.55,0
621,42,12,40,1,183.21,0
622,3,61,27,3,40.25,0
623,68,19,70,2,0.0,0
624,48,76,76,7,0.0,0
625,6,9,4,0,0.0,0
626,2,71,35,4,0.0,0
627,25,28,35,0,0.0,0
628,6,78,35,2,0.0,0
629,54,95,90,7,504.3,1
630,14,52,35,1,0.0,0
631,74,83,107,3,0.0,0
632,26,16,19,0,0.0,0
633,7,69,44,2,0.0,1
634,5,99,60,9,0.0,0
635,26,12,17,1,0.0,0
636,44,25,39,0,0.0,0
637,46,52,71,5,0.0,0
638,10,85,45,3,145.59,1
639,7,100,71,7,0.0,0
640,1,53,18,6,0.0,0
641,35,23,40,0,0.0,0
642,3,16,10,3,0.0,0
643,17,57,41,5,0.0,0
644,28,39,44,3,0.0,0
645,83,53,95,2,64.17,0
646,12,42,29,2,0.0,0
647,9,58,31,3,0.0,0
648,32,39,50,0,0.0,0
649,29,14,33,1,234.13,0
650,13,95,58,2,0.0,0
651,79,5,68,1,0.0,0
652,56,35,66,1,0.0,0
653,8,87,46,8,0.0,0
654,9,93,56,4,0.0,0
655,22,75,52,3,178.19,0
656,45,18,49,1,0.0,0
657,2,76,38,6,0.0,0
658,36,9,36,0,0.0,0
659,32,74,60,8,0.0,0
660,8,58,38,1,0.0,0
661,35,17,31,1,19.75,0
662,85,7,71,0,0.0,0
663,2,46,29,1,26.18,0
664,12,13,18,0,0.0,0
665,18,40,35,2,244.66,1
666,69,42,85,2,0.0,0
667,99,9,88,0,0.0,0
668,18,50,43,2,0.0,0
669,42,27,50,2,0.0,1
670,23,66,55,3,0.0,0
671,24,5,29,0,0.0,0
672,10,29,20,2,0.0,0
673,8,37,29,1,336.36,0
674,11,38,29,2,0.0,0
675,25,83,59,1,0.0,0
676,1,8,4,0,457.93,1
677,72,65,91,4,0.0,0
678,6,86,43,4,0.0,0
679,8,17,19,0,419.03,0
680,22,71,52,6,0.0,0
681,38,89,75,9,0.0,0
682,4,45,32,1,0.0,0
683,12,4,12,0,187.8,1
684,104,36,108,3,0.0,0
685,10,70,40,5,44.64,1
686,12,31,19,1,0.0,0
687,55,19,52,3,0.0,0
688,2,61,18,2,0.0,0
689,19,54,46,2,0.0,0
690,15,39,26,1,98.88,0
691,12,91,52,6,0.0,1
692,11,74,49,0,0.0,0
693,3,90,47,4,0.0,0
694,12,19,16,0,121.29,1
695,2,39,10,1,0.0,0
696,46,67,76,3,0.0,1
697,16,45,38,0,0.0,0
698,18,13,31,0,0.0,0
699,68,92,97,4,0.0,0
700,33,58,48,4,0.0,0
701,1,20,15,3,0.0,0
702,87,92,114,2,0.0,0
703,9,72,46,3,0.0,0
704,4,61,41,4,0.0,0
705,44,39,56,2,0.0,0
706,21,1,18,0,0.0,0
707,18,3,17,0,0.0,0
708,9,77,37,3,0.0,0
709,24,92,70,1,43.25,0
710,10,62,44,1,0.0,0
711,70,63,90,0,0.0,0
712,8,25,11,1,46.28,0
713,65,56,79,3,0.0,0
714,25,33,43,1,0.0,0
715,53,38,58,0,0.0,0
716,38,6,39,1,0.0,0
717,36,58,58,4,29.9,1
718,12,44,35,3,0.0,0
719,8,45,26,0,113.32,1
720,8,32,22,1,0.0,0
721,59,45,71,2,0.0,0
722,52,61,66,1,0.0,0
723,18,47,39,2,0.0,0
724,5,21,1,2,0.0,0
725,15,80,48,2,0.0,0
726,29,85,68,3,0.0,0
727,19,75,58,3,0.0,1
728,46,36,57,0,0.0,0
729,182,99,188,3,0.0,0
730,7,19,20,0,0.0,0
731,19,20,19,2,0.0,0
732,17,57,45,2,0.0,0
733,11,18,12,2,0.0,0
734,7,47,25,4,0.0,0
735,3,49,22,3,0.0,0
736,66,14,60,0,0.0,0
737,17,15,20,1,0.0,1
738,21,31,34,0,0.0,0
739,75,1,60,0,0.0,0
740,45,54,55,1,65.04,0
741,5,3,6,0,0.0,0
742,26,16,19,0,0.0,1
743,18,87,53,2,0.0,0
744,48,57,65,2,0.0,0
745,39,75,66,2,0.0,0
746,36,12,26,2,0.0,0
747,13,74,54,4,0.0,0
748,50,96,96,5,0.0,0
749,2,16,20,0,0.0,0
750,6,72,46,2,0.0,0
751,13,76,46,4,0.0,0
752,3,24,12,0,68.43,0
753,9,28,18,1,160.92,1
754,54,8,57,0,0.0,0
755,89,92,116,7,0.0,0
756,11,36,33,0,0.0,0
757,10,90,58,1,0.0,1
758,10,8,12,0,0.0,0
759,10,58,29,3,0.0,0
760,2,60,31,1,0.0,0
761,79,50,88,2,0.0,0
762,8,28,26,3,0.0,0
763,17,92,59,3,0.0,0
764,1,41,15,2,0.0,0
765,59,100,102,9,182.06,0
766,40,64,62,3,0.0,0
767,88,27,71,2,0.0,0
768,46,63,69,1,0.0,0
769,12,17,20,0,0.0,0
770,9,73,39,4,0.0,0
771,36,33,44,1,0.0,0
772,14,84,56,5,0.0,0
773,26,77,60,3,0.0,0
774,1,92,38,2,0.0,0
775,2,29,22,1,0.0,0
776,23,13,33,0,0.0,0
777,26,46,41,3,0.0,1
778,42,35,41,1,0.0,0
779,5,6,10,1,0.0,1
780,22,82,55,8,0.0,0
781,7,69,42,2,0.0,0
782,3,47,36,0,0.0,0
783,16,25,17,1,0.0,0
784,6,66,33,6,0.0,0
785,8,10,10,0,0.0,0
786,12,56,44,2,0.0,1
787,10,30,40,1,0.0,1
788,3,5,6,0,344.99,0
789,3,33,10,1,0.0,0
790,7,65,36,5,33.74,0
791,2,18,6,0,0.0,0
792,30,96,75,5,0.0,0
793,11,49,35,3,0.0,0
794,10,11,8,1,0.0,0
795,13,85,48,3,44.85,0
796,33,26,37,1,69.75,1
797,62,63,79,1,580.64,1
798,43,89,78,1,0.0,0
799,40,86,75,4,0.0,0
800,20,59,51,3,531.95,0
801,36,27,40,0,0.0,0
802,25,49,41,1,0.0,0
803,8,77,38,1,81.47,0
804,8,33,21,1,66.57,0
805,11,98,59,5,0.0,0
806,73,99,99,3,0.0,0
807,24,1,17,0,0.0,0
808,40,21,48,0,86.24,0
809,13,55,41,1,0.0,0
810,16,6,17,0,0.0,0
811,5,92,53,6,0.0,0
812,6,81,42,4,0.0,0
813,53,69,73,3,0.0,0
814,27,95,75,5,0.0,0
815,13,5,17,0,0.0,0
816,49,3,36,1,0.0,0
817,9,53,24,2,0.0,0
818,112,23,97,1,0.0,0
819,13,53,39,5,0.0,0
820,13,37,25,5,0.0,0
821,12,74,48,6,0.0,0
822,4,74,47,2,241.43,0
823,4,83,44,7,44.05,0
824,32,17,35,1,0.0,0
825,63,85,96,2,103.11,1
826,47,78,71,5,0.0,0
827,5,73,36,3,0.0,0
828,24,1,23,0,0.0,0
829,4,51,28,1,0.0,0
830,2,45,24,3,0.0,0
831,33,77,65,6,0.0,0
832,23,4,25,0,0.0,0
833,3,62,35,1,0.0,0
834,2,65,36,1,596.22,1
835,138,32,132,0,0.0,0
836,1,34,25,2,98.5,1
837,18,92,71,9,0.0,0
838,22,95,62,2,0.0,0
839,4,72,51,4,0.0,1
840,6,39,18,2,0.0,0
841,14,26,33,0,0.0,0
842,44,34,49,2,0.0,0
843,22,54,44,3,0.0,0
844,31,3,26,0,618.48,0
845,127,50,122,5,57.01,0
846,44,12,41,1,183.67,0
847,18,65,42,4,0.0,0
848,18,54,35,2,0.0,0
849,29,5,25,0,0.0,0
850,33,94,81,3,0.0,0
851,21,94,62,5,35.62,0
852,32,57,58,0,0.0,0
853,1,17,5,1,272.58,0
854,17,47,30,6,0.0,0
855,10,23,21,0,0.0,0
856,5,79,52,4,0.0,0
857,4,85,46,3,0.0,0
858,28,14,33,0,0.0,0
859,23,66,58,2,88.13,1
860,9,75,44,8,225.21,1
861,20,51,40,6,0.0,0
862,21,38,38,1,0.0,0
863,7,64,40,4,0.0,0
864,32,98,67,5,0.0,0
